minute,median,p25,p75,pair
363,4973.03646638658,2236.269277781149,11456.695785899483,ETH/SHIB
364,5017.155380534392,2269.6982003256903,11560.543561261165,ETH/SHIB
365,5057.096981381839,2289.9030914389255,11724.637044805395,ETH/SHIB
366,5069.541541760232,2307.8825335205092,11876.868699321472,ETH/SHIB
367,5144.395137810165,2326.7590017670764,12020.856290536316,ETH/SHIB
368,5121.09583183707,2296.6532302668684,11986.242201569057,ETH/SHIB
369,5104.024640836138,2303.820526782138,11919.71451238554,ETH/SHIB
370,5103.070143540129,2302.2037765616583,12066.145922103042,ETH/SHIB
371,5133.436497605836,2321.4279876718956,12106.902207406963,ETH/SHIB
372,5120.640891577419,2312.980133679826,12100.460745216715,ETH/SHIB
373,5108.479500605864,2288.5984764931036,12022.948268960161,ETH/SHIB
374,5098.189879460871,2260.6514036902877,11914.159962432836,ETH/SHIB
375,5079.18461899115,2227.021828411719,11831.81357876011,ETH/SHIB
376,5075.461301372513,2196.0748432555624,11703.471298956243,ETH/SHIB
377,5063.979590478706,2198.071694957334,11752.537068859247,ETH/SHIB
378,5039.421675813367,2162.9358155077275,11702.7573910832,ETH/SHIB
379,5029.513605498131,2142.9913841077982,11632.206015166574,ETH/SHIB
380,4991.189212798357,2157.5070697811525,11531.565969999561,ETH/SHIB
381,4990.209007037255,2134.708025287722,11544.865994313548,ETH/SHIB
382,4950.915157380281,2116.2942905503523,11532.79543404514,ETH/SHIB
