minute,kappa_3_usdt_per_min,kappa_1_usdt_per_min,kappa_0.3_usdt_per_min,kappa_0.1_usdt_per_min,kappa_0.03_usdt_per_min
265,32163.27643823073,10721.09214607691,3216.327643823073,1072.109214607691,321.63276438230724
266,32047.85334298982,10682.617780996607,3204.785334298982,1068.2617780996607,320.4785334298982
267,31848.514263516536,10616.17142117218,3184.8514263516536,1061.6171421172178,318.48514263516535
268,31724.817732571682,10574.939244190562,3172.4817732571682,1057.4939244190562,317.2481773257168
269,31425.797196488402,10475.2657321628,3142.57971964884,1047.52657321628,314.257971964884
270,31017.681047945876,10339.227015981958,3101.7681047945875,1033.9227015981958,310.17681047945877
271,30676.07127590158,10225.357091967193,3067.607127590158,1022.5357091967194,306.7607127590158
272,30359.770430853525,10119.923476951175,3035.9770430853523,1011.9923476951175,303.59770430853524
273,30097.923754337375,10032.641251445792,3009.7923754337376,1003.2641251445792,300.97923754337376
274,29885.1152769429,9961.7050923143,2988.51152769429,996.1705092314301,298.851152769429
275,29574.057637802234,9858.019212600744,2957.4057637802234,985.8019212600744,295.74057637802235
276,29595.632903190784,9865.210967730261,2959.5632903190785,986.5210967730262,295.95632903190784
277,29738.867866662444,9912.955955554147,2973.8867866662445,991.2955955554148,297.38867866662446
278,29821.656183786978,9940.552061262326,2982.1656183786977,994.0552061262326,298.2165618378698
279,29850.208565256158,9950.069521752053,2985.020856525616,995.0069521752054,298.5020856525616
280,30067.064657911225,10022.354885970408,3006.7064657911224,1002.2354885970408,300.67064657911226
281,29719.313367178285,9906.437789059428,2971.9313367178283,990.6437789059428,297.19313367178285
282,29368.700553080344,9789.566851026782,2936.8700553080344,978.9566851026782,293.68700553080345
283,28978.3345893475,9659.444863115834,2897.83345893475,965.9444863115834,289.78334589347503
284,28658.733505094388,9552.911168364795,2865.8733505094388,955.2911168364795,286.58733505094386
285,28499.728885421,9499.909628473666,2849.9728885420996,949.9909628473665,284.99728885420996
286,28107.792903402435,9369.264301134144,2810.7792903402433,936.9264301134144,281.07792903402435
287,27996.696193407795,9332.232064469265,2799.6696193407793,933.2232064469265,279.9669619340779
288,27819.235366895926,9273.078455631976,2781.9235366895928,927.3078455631975,278.19235366895924
289,27606.9966309144,9202.3322103048,2760.69966309144,920.23322103048,276.069966309144
290,27458.817381455945,9152.939127151982,2745.8817381455947,915.2939127151982,274.58817381455947
291,27778.133028604665,9259.377676201555,2777.8133028604666,925.9377676201556,277.7813302860467
292,27988.551210784397,9329.517070261465,2798.8551210784394,932.9517070261466,279.88551210784397
293,28248.690513677433,9416.23017122581,2824.8690513677434,941.623017122581,282.48690513677434
294,28529.675193340503,9509.891731113501,2852.9675193340504,950.98917311135,285.296751933405
295,28769.06943344193,9589.689811147311,2876.906943344193,958.968981114731,287.69069433441933
296,28886.90867006972,9628.969556689906,2888.690867006972,962.8969556689907,288.8690867006972
297,28912.61361135243,9637.537870450811,2891.261361135243,963.753787045081,289.1261361135243
298,29137.965225319203,9712.6550751064,2913.7965225319203,971.2655075106401,291.37965225319203
